"","AR","beta_catenin","Caspase8","Caspase9","EGF","EGFR","HSP27","IGF_1","IGF1_R","IL6","IL6R","Jak","MEK","mTOR","MYC","NFkB","p53","PI3K","Rac","RAS","RPS6","Stat3","TNFa","TNFR","AKT","Cell_cycle","ERK1_2","GSK3","IKK","JNK","p38"
"CHP-212",1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0.666666666666667,0,0,0.5,0.666666666666667,0
"COLO-205",0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0.333333333333333,0,0.5,0.5,0.5,0.333333333333333,0.5
"COLO-320-HSR",1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0.5,0.5,0.5,0,0.333333333333333,0
"COLO-668",0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0.5,1,0,0.5,0,0.5
"COLO-678",0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0.333333333333333,0.5,0.5,0.5,0,0.5
"COLO-679",1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0.666666666666667,0.5,0,0.5,0,0
"COLO-680N",1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0.666666666666667,0.666666666666667,1,0.5,0,0,1
"COLO-684",0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0.5,0.5,0.5,1,0.333333333333333,0
"COLO-741",1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.666666666666667,0.5,0.5,0.5,0,0
"COLO-792",0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0.5,1,0.5,0,0.333333333333333,0.5
"COLO-800",1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0.833333333333333,1,0.5,0.5,0.333333333333333,0
"COLO-824",1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0.833333333333333,0.5,0.5,0.5,0.333333333333333,0.5
"COR-L105",1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.5,0.5,0.5,0,0.333333333333333,0
"COR-L23",1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0.666666666666667,1,0.5,0.5,0,0.5
"COR-L279",0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0.666666666666667,0.5,0.5,0,0.666666666666667,0.5
"COR-L88",0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0.666666666666667,0.5,0.5,0.5,0.666666666666667,0.5
"CP66-MEL",1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0.5,1,0.5,0,0,0
"CP67-MEL",0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0.666666666666667,1,0.5,0,0,0
"CPC-N",1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0.833333333333333,0.5,0.5,0.5,0.333333333333333,0.5
"CRO-AP2",1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0.666666666666667,0.666666666666667,0.5,0.5,1,0,0
"CTB-1",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0.666666666666667,0.5,1,0,0.5,0.333333333333333,0
"CTV-1",0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0.5,0.5,0.5,1,0.333333333333333,0
"CW-2",1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0.666666666666667,0.5,0.5,0.5,0,0,0.5
"D-247MG",1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0.333333333333333,1,0,0.5,0,0
"D-263MG",1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0.666666666666667,1,0.5,0.5,0,0
"D-283MED",1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0.666666666666667,0.833333333333333,1,0.5,0,0.333333333333333,0
"D-336MG",1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0.5,0.5,0,0.5,0,0
"D-392MG",1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0.666666666666667,0.5,0,0,0,0
"D-423MG",1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0.666666666666667,1,0,0,0,0
"D-502MG",1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0.5,0.5,0.5,0.5,0,0
"D-542MG",1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0.5,0.5,0.5,0.5,0.333333333333333,0.5
"D-566MG",0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0.666666666666667,0.5,0.5,0.5,0.333333333333333,0
"Daoy",1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0.666666666666667,1,0.5,0,0,0
"Daudi",1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0.666666666666667,0.333333333333333,0.5,1,0.5,0.666666666666667,0
"DB",1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0.666666666666667,0.5,0.5,0.5,0.5,0.666666666666667,0
"DBTRG-05MG",1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0.666666666666667,0.5,0.5,0,0,0
"DEL",0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0.5,0.5,0.5,0.5,0,0.5
"DG-75",1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0.666666666666667,0.333333333333333,0.5,0.5,1,0,0
"DJM-1",0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0.666666666666667,0.166666666666667,0.5,0.5,0,0.333333333333333,0.5
"DK-MG",1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0.5,1,0.5,0,0,0
"DMS-114",0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0.5,0.5,0.5,1,0.333333333333333,0.5
"DMS-273",0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0.833333333333333,0.5,1,0.5,0,0
"DMS-53",1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0.666666666666667,0.5,0.5,0,1,0.333333333333333,0
"DOHH-2",1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0.333333333333333,0.5,0.5,0,0.5,0.666666666666667,0
"DOK",0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0.166666666666667,1,0.5,0,0.333333333333333,0.5
"DoTc2-4510",1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0.333333333333333,1,1,0.5,0.666666666666667,0
"DSH1",1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0.333333333333333,1,0.5,0.5,0.333333333333333,0.5
"DU-145",0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0.5,1,0.5,0.5,0.333333333333333,0
"DU-4475",0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0.666666666666667,0.5,0.5,0.5,1,0
"EB-3",1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0.5,0.5,0.5,0.5,0.666666666666667,0
"EB2",0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0.333333333333333,0.333333333333333,0,0.5,1,0.333333333333333,0
"EC-GI-10",1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0.5,0.5,0.5,0.5,0,0
"ECC12",0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0.666666666666667,0.666666666666667,1,0.5,0,0.666666666666667,0
"EFM-19",1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0.666666666666667,0.333333333333333,0.5,0.5,0,0.333333333333333,0.5
"EFO-21",0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0.333333333333333,0.5,0.5,0.5,1,0.333333333333333,0.5
"EFO-27",0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0.666666666666667,0.333333333333333,1,0.5,0.5,0,0.5
"EGI-1",0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0.666666666666667,0.5,0.5,0.5,0.333333333333333,0.5
"EHEB",1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0.333333333333333,0.5,0.5,0.5,0.666666666666667,0
"EKVX",0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0.666666666666667,0.666666666666667,1,0,1,0.333333333333333,0
"EM-2",1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0.666666666666667,0.333333333333333,0.5,1,1,0.333333333333333,0.5
"EoL-1-cell",0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0.666666666666667,0.333333333333333,0,0.5,1,0,0.5
