"","AR","beta_catenin","Caspase8","Caspase9","EGF","EGFR","HSP27","IGF_1","IGF1_R","IL6","IL6R","Jak","MEK","mTOR","MYC","NFkB","p53","PI3K","Rac","RAS","RPS6","Stat3","TNFa","TNFR","AKT","Cell_cycle","ERK1_2","GSK3","IKK","JNK","p38"
"COLO-792",NA,1,1,NA,1,NA,1,1,1,NA,NA,NA,1,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,1,1,1,NA,1,1
"COLO-800",NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA
"COLO-824",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COR-L105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COR-L23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COR-L279",NA,NA,NA,1,NA,1,1,1,1,1,1,1,NA,NA,1,NA,0,1,1,1,NA,1,NA,1,1,1,1,1,1,NA,NA
"COR-L88",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,NA,1,NA,1,1,1,1,1,1,NA,1,1,1
"CP66-MEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"CP67-MEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CPC-N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"CRO-AP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CTB-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CTV-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CW-2",NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D-247MG",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1
"D-263MG",NA,1,1,1,1,NA,NA,NA,NA,NA,1,1,NA,1,1,1,0,NA,NA,NA,NA,1,1,NA,1,1,NA,1,1,NA,1
"D-283MED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D-336MG",NA,1,NA,1,NA,1,1,NA,1,1,1,1,1,1,1,NA,0,1,1,1,NA,1,1,NA,1,1,NA,NA,1,NA,1
"D-392MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D-423MG",1,1,1,1,NA,1,1,1,NA,1,1,1,NA,1,1,NA,0,1,1,1,NA,1,1,1,1,1,1,1,1,1,1
"D-502MG",NA,NA,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,NA
"D-542MG",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,1,1,1,1,1,1,1,1,1,1
"D-566MG",NA,1,NA,1,NA,1,1,NA,1,1,1,1,1,1,1,NA,0,1,1,NA,NA,NA,1,NA,1,1,1,1,1,NA,1
"Daoy",NA,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,0,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1
"Daudi",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DB",NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,0,NA,1,NA,NA,1,NA,NA,1,1,NA,1,1,1,NA
"DBTRG-05MG",1,NA,NA,1,NA,1,1,1,1,1,NA,NA,1,1,NA,NA,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,NA
"DEL",NA,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,1,1,1
"DG-75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DJM-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"DK-MG",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DMS-114",NA,NA,NA,1,NA,1,NA,NA,1,1,1,1,1,1,1,NA,0,NA,1,NA,NA,NA,1,NA,1,1,NA,1,1,1,1
"DMS-273",1,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"DMS-53",NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,1,1,NA
"DOHH-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOK",NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,NA,1,NA,1,NA,1,1,NA,1,1,1,1,1,1,NA,1,1,1
"DoTc2-4510",NA,NA,NA,1,NA,1,1,1,NA,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,NA
"DSH1",NA,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,NA,0,1,1,1,NA,1,NA,1,1,1,1,1,1,1,NA
"DU-145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"DU-4475",1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,NA,NA,1,1,1,1,1,1,NA
"EB-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EB2",1,1,1,1,NA,1,1,NA,NA,1,1,1,NA,1,1,NA,0,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1
"EC-GI-10",NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,0,1,1,1,1,NA,NA,1,1,1,1,1,NA,NA,NA
"ECC12",NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EFM-19",NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,1,NA,0,1,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,1
"EFO-21",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA
"EFO-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EGI-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,1
"EHEB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
